=== Задание 7: CpG islands ===
start	end	R(CG)	GC%
10270	10470	1.844	55.0
10271	10471	1.844	55.0
10272	10472	1.861	55.0
10273	10473	1.241	55.5
10274	10474	1.241	55.5
10275	10475	1.241	55.5
10276	10476	1.241	55.5
10277	10477	1.241	55.5
10278	10478	1.241	55.5
10279	10479	1.241	55.5
10280	10480	1.229	56.0
10281	10481	1.229	56.0
10282	10482	0.931	56.0
10283	10483	0.931	56.0
10284	10484	0.931	56.0
10285	10485	1.117	56.5
10286	10486	0.931	57.0
10287	10487	0.922	57.5
10288	10488	0.922	57.5
10289	10489	0.922	57.5
10290	10490	1.064	57.5
10291	10491	1.064	57.5
10292	10492	1.054	58.0
10293	10493	1.044	58.5
10294	10494	1.153	58.5
10295	10495	1.153	58.5
10296	10496	1.153	58.5
10297	10497	1.153	58.5
10298	10498	1.229	59.0
10299	10499	1.106	59.5
10300	10500	1.015	59.5
10301	10501	1.025	59.0
10302	10502	1.025	59.0
10303	10503	1.034	58.5
10304	10504	0.948	59.0
10305	10505	0.948	59.0
10306	10506	0.948	59.0
10307	10507	0.948	59.0
10308	10508	0.957	58.5
10309	10509	0.892	58.5
10310	10510	0.892	58.5
10311	10511	0.828	59.0
10312	10512	0.781	59.0
10313	10513	0.788	58.5
10314	10514	0.746	58.5
10315	10515	0.754	58.0
10316	10516	0.754	58.0
10317	10517	0.746	58.5
10318	10518	0.754	58.0
10319	10519	0.717	58.0
10320	10520	0.724	57.5
10321	10521	0.691	57.5
10322	10522	0.684	58.0
10323	10523	0.684	58.0
10324	10524	0.684	58.0
10325	10525	0.684	58.0
10326	10526	0.763	58.0
10327	10527	0.756	58.5
10328	10528	0.748	59.0
10329	10529	0.748	59.0
10330	10530	0.756	58.5
10331	10531	0.756	58.5
10332	10532	0.763	58.0
10333	10533	0.733	58.0
10334	10534	0.733	58.0
10335	10535	0.698	58.5
10336	10536	0.698	58.5
10337	10537	0.705	58.0
10338	10538	0.705	58.0
10339	10539	0.705	58.0
10340	10540	0.705	58.0
10341	10541	0.698	58.5
10342	10542	0.691	59.0
10343	10543	0.761	59.0
10344	10544	0.769	58.5
10345	10545	0.778	58.0
10346	10546	0.778	58.0
10347	10547	0.778	58.0
10348	10548	0.769	58.5
10349	10549	0.778	58.0
10350	10550	0.752	58.0
10351	10551	0.760	57.5
10352	10552	0.728	58.0
10353	10553	0.720	58.5
10354	10554	0.728	58.0
10355	10555	0.707	58.0
10356	10556	0.715	57.5
10357	10557	0.687	58.0
10358	10558	0.662	58.5
10359	10559	0.662	58.5
10360	10560	0.662	58.5
10361	10561	0.669	58.0
10362	10562	0.677	57.5
10363	10563	0.669	58.0
10364	10564	0.726	58.5
10365	10565	0.718	59.0
10366	10566	0.726	58.5
10367	10567	0.709	58.5
10368	10568	0.709	58.5
10369	10569	0.709	58.5
10370	10570	0.701	59.0
10371	10571	0.693	59.5
10372	10572	0.753	59.5
10373	10573	0.753	59.5
10374	10574	0.753	59.5
10375	10575	0.744	60.0
10376	10576	0.744	60.0
10377	10577	0.736	60.5
10378	10578	0.792	60.5
10379	10579	0.792	60.5
10380	10580	0.847	60.5
10381	10581	0.821	61.0
10382	10582	0.821	61.0
10383	10583	0.797	61.5
10384	10584	0.797	61.5
10385	10585	0.806	61.0
10386	10586	0.806	61.0
10387	10587	0.806	61.0
10388	10588	0.797	61.5
10389	10589	0.788	62.0
10390	10590	0.839	62.0
10391	10591	0.825	62.0
10392	10592	0.812	62.0
10393	10593	0.821	61.5
10394	10594	0.812	62.0
10395	10595	0.812	62.0
10396	10596	0.790	62.5
10397	10597	0.800	62.0
10398	10598	0.788	62.0
10399	10599	0.788	62.0
10400	10600	0.798	61.5
10401	10601	0.778	62.0
10402	10602	0.778	62.0
10403	10603	0.759	62.5
10404	10604	0.750	62.5
10405	10605	0.759	62.0
10406	10606	0.750	62.0
10407	10607	0.750	62.0
10408	10608	0.750	62.0
10409	10609	0.741	62.5
10410	10610	0.790	62.5
10411	10611	0.790	62.5
10412	10612	0.799	62.0
10413	10613	0.799	62.0
10414	10614	0.790	62.5
10415	10615	0.790	62.5
10416	10616	0.790	62.5
10417	10617	0.790	62.5
10418	10618	0.838	62.5
10419	10619	0.827	63.0
10420	10620	0.817	63.5
10421	10621	0.853	64.0
10422	10622	0.863	63.5
10423	10623	0.874	63.0
10424	10624	0.866	63.0
10425	10625	0.855	63.5
10426	10626	0.855	63.5
10427	10627	0.855	63.5
10428	10628	0.866	63.0
10429	10629	0.859	63.0
10430	10630	0.852	63.0
10431	10631	0.841	63.5
10432	10632	0.876	64.0
10433	10633	0.865	64.5
10434	10634	0.910	64.5
10435	10635	0.910	64.5
10436	10636	0.910	64.5
10437	10637	0.942	65.0
10438	10638	0.930	65.5
10439	10639	0.960	66.0
10440	10640	0.960	66.0
10441	10641	0.960	66.0
10442	10642	1.002	66.0
10443	10643	0.997	66.0
10444	10644	0.984	66.5
10445	10645	1.012	67.0
10446	10646	1.000	67.5
10447	10647	1.012	67.0
10448	10648	1.008	67.0
10449	10649	1.003	67.0
10450	10650	0.990	67.5
10451	10651	1.018	68.0
10452	10652	1.005	68.5
10453	10653	1.018	68.0
10454	10654	1.014	68.0
10455	10655	1.027	67.5
10456	10656	1.011	68.0
10457	10657	1.011	68.0
10458	10658	0.994	68.5
10459	10659	0.992	68.5
10460	10660	0.992	68.5
10461	10661	1.033	68.5
10462	10662	1.019	69.0
10463	10663	1.045	69.5
10464	10664	1.031	70.0
10465	10665	1.031	70.0
