position	strand	score
-96134	+	11.503
-95632	+	6.821
-95313	+	5.545
-95230	+	7.257
-94994	+	5.545
-94766	+	8.017
-94743	+	7.084
-94622	+	6.151
-94605	+	7.725
-94340	+	5.309
-94055	+	5.309
-93958	+	10.307
-93500	+	8.769
-93329	+	5.777
-92760	+	7.725
-92638	+	6.505
-92393	+	7.084
-91330	+	6.186
-91141	+	5.572
-90845	+	5.981
-90626	+	5.545
-90519	+	6.151
-89787	+	6.914
-89783	+	6.297
-89272	+	5.283
-89228	+	7.725
-88726	+	8.233
-88352	+	5.254
-88140	+	5.888
-88086	+	11.503
-88065	+	5.136
-85681	+	8.452
-84756	+	5.309
-84343	+	5.163
-84213	+	6.478
-84035	+	5.163
-83795	+	5.254
-82650	+	8.043
-81788	+	11.503
-80384	+	5.283
-80288	+	6.186
-80068	+	5.545
-78997	+	9.964
-77598	+	6.186
-77145	+	7.725
-76943	+	9.178
-76835	+	6.186
-76817	+	11.649
-76812	+	5.572
-75154	+	5.163
-74666	+	5.309
-74536	+	5.777
-73957	+	8.043
-71466	+	10.307
-70920	+	8.426
-69529	+	6.297
-69233	+	5.981
-69030	+	5.163
-66919	+	5.309
-66416	+	8.043
-65178	+	10.111
-64219	+	5.572
-61854	+	6.821
-61395	+	5.283
-61063	+	5.136
-60976	+	5.136
-60857	+	5.572
-57288	+	6.821
-57178	+	9.359
-56161	+	5.136
-55962	+	7.230
-55547	+	9.031
-55453	+	5.136
-54671	+	7.084
-54203	+	5.136
-54003	+	6.821
-53955	+	6.151
-53117	+	5.136
-52110	+	6.297
-52044	+	5.283
-51771	+	5.572
-51663	+	7.493
-51378	+	10.111
-51109	+	5.136
-50055	+	8.426
-49870	+	6.505
-48137	+	6.151
-48084	+	6.821
-47369	+	5.572
-46247	+	7.084
-46153	+	9.178
-45695	+	7.493
-45481	+	5.545
-44004	+	5.545
-43862	+	5.545
-43497	+	10.111
-43482	+	6.675
-42024	+	9.964
-41445	+	9.359
-40945	+	8.426
-40910	+	6.478
-39961	+	8.017
-39639	+	7.230
-39085	+	7.084
-38899	+	5.572
-38493	+	5.163
-37628	+	6.151
-37376	+	9.178
-37319	+	6.151
-32872	+	8.426
-32849	+	9.031
-32828	+	8.769
-32214	+	6.151
-32098	+	5.136
-29862	+	6.151
-29650	+	6.505
-28151	+	5.136
-28114	+	6.186
-27295	+	5.254
-27290	+	11.306
-27192	+	5.254
-26463	+	5.283
-25744	+	5.309
-25049	+	10.111
-24995	+	6.069
-24510	+	6.151
-20922	+	9.031
-18692	+	5.353
-18430	+	6.186
-17916	+	9.031
-17841	+	9.031
-17770	+	9.031
-17699	+	9.031
-17003	+	5.163
-16628	+	7.725
-16590	+	11.649
-16531	+	10.897
-16480	+	5.309
-16472	+	10.897
-16421	+	5.309
-16413	+	10.897
-16362	+	5.309
-16354	+	10.897
