=== Задание 2.3: максимумы gamma по каждому состоянию ===

Состояние E: максимум при t = 1, gamma = 1.000000
Состояние 5: максимум при t = 19, gamma = 0.288735
Состояние I: максимум при t = 24, gamma = 0.625005

Таблица gamma (строки — t, столбцы — состояния):
	E	5	I
1	1.00000	0.00000	0.00000
2	1.00000	0.00000	0.00000
3	1.00000	0.00000	0.00000
4	1.00000	0.00000	0.00000
5	0.99933	0.00067	0.00000
6	0.99933	0.00000	0.00067
7	0.97949	0.01984	0.00067
8	0.97949	0.00000	0.02051
9	0.94849	0.03100	0.02051
10	0.94747	0.00102	0.05151
11	0.94683	0.00064	0.05253
12	0.94643	0.00040	0.05317
13	0.92751	0.01892	0.05357
14	0.92751	0.00000	0.07249
15	0.92595	0.00156	0.07249
16	0.85204	0.07392	0.07405
17	0.84961	0.00243	0.14796
18	0.84961	0.00000	0.15039
19	0.56087	0.28873	0.15039
20	0.56087	0.00000	0.43913
21	0.55493	0.00594	0.43913
22	0.55122	0.00371	0.44507
23	0.37500	0.17623	0.44878
24	0.37500	0.00000	0.62500
25	0.37500	0.00000	0.62500
26	0.36684	0.00815	0.62500
